userid,age,occupation,gender
13308,26,college/grad student,M
13309,34,college/grad student,F
13310,29,homemaker,M
13311,31,scientist,M
13312,43,other or not specified,F
13313,25,scientist,M
13314,30,executive/managerial,M
13315,14,K-12 student,M
13316,29,executive/managerial,M
13317,28,executive/managerial,M
13318,34,sales/marketing,M
13319,39,lawyer,M
13320,32,other or not specified,M
13321,25,college/grad student,M
13322,30,self-employed,M
13323,33,technician/engineer,M
13324,25,artist,F
13325,21,sales/marketing,M
13326,25,college/grad student,M
13327,29,college/grad student,M
13328,30,executive/managerial,M
13329,34,executive/managerial,M
13330,34,college/grad student,F
13331,28,college/grad student,M
13332,33,executive/managerial,M
13333,18,sales/marketing,M
13334,29,college/grad student,M
13335,34,executive/managerial,M
13336,31,self-employed,M
13337,28,college/grad student,M
13338,35,clerical/admin,M
13339,26,other or not specified,M
13340,34,college/grad student,M
13341,28,executive/managerial,M
13342,31,college/grad student,M
13343,26,homemaker,M
13344,26,other or not specified,M
13345,31,sales/marketing,M
13346,20,retired,M
13347,27,executive/managerial,M
13348,31,artist,F
13349,32,college/grad student,F
13350,23,K-12 student,M
13351,32,executive/managerial,M
13352,30,academic/educator,M
13353,33,homemaker,M
13354,26,college/grad student,M
13355,30,college/grad student,M
13356,30,other or not specified,M
13357,29,K-12 student,M
13358,90,retired,F
13359,32,college/grad student,M
13360,29,self-employed,F
13361,25,scientist,M
13362,31,other or not specified,F
13363,28,college/grad student,M
13364,32,scientist,M
13365,33,executive/managerial,M
13366,27,other or not specified,F
13367,33,sales/marketing,M
13368,26,sales/marketing,F
13369,25,college/grad student,M
13370,29,other or not specified,M
13371,33,college/grad student,M
13372,27,other or not specified,M
13373,33,sales/marketing,M
13374,31,other or not specified,M
13375,34,other or not specified,M
13376,27,sales/marketing,M
13377,43,executive/managerial,M
13378,32,executive/managerial,M
13379,26,executive/managerial,M
13380,34,scientist,F
13381,29,college/grad student,M
13382,33,executive/managerial,F
13383,34,sales/marketing,M
13384,21,sales/marketing,M
13385,28,sales/marketing,M
13386,28,executive/managerial,M
13387,28,scientist,M
13388,26,self-employed,M
13389,27,college/grad student,M
13390,27,college/grad student,M
13391,33,sales/marketing,M
13392,30,tradesman/craftsman,M
13393,31,college/grad student,F
13394,32,executive/managerial,M
13395,31,executive/managerial,M
13396,29,executive/managerial,M
13397,32,K-12 student,M
13398,33,sales/marketing,M
13399,19,K-12 student,M
13400,28,college/grad student,M
13401,83,homemaker,F
13402,30,scientist,M
13403,25,other or not specified,M
13404,26,self-employed,M
13405,25,college/grad student,M
13406,28,sales/marketing,M
13407,26,sales/marketing,M
13408,28,executive/managerial,M
13409,25,college/grad student,M
13410,33,executive/managerial,M
13411,39,other or not specified,M
13412,33,college/grad student,M
13413,28,sales/marketing,M
13414,32,executive/managerial,M
13415,24,K-12 student,M
13416,26,scientist,F
13417,30,self-employed,M
13418,34,college/grad student,M
13419,21,scientist,M
13420,32,executive/managerial,M
13421,25,other or not specified,F
13422,34,executive/managerial,M
13423,27,other or not specified,M
13424,26,executive/managerial,M
13425,26,college/grad student,M
13426,21,K-12 student,M
13427,36,college/grad student,M
13428,27,scientist,M
13429,30,artist,F
13430,30,sales/marketing,M
13431,43,sales/marketing,M
13432,27,academic/educator,F
13433,28,artist,M
13434,33,sales/marketing,M
13435,27,academic/educator,F
13436,33,technician/engineer,M
13437,51,executive/managerial,M
13438,32,college/grad student,M
13439,31,college/grad student,M
13440,31,self-employed,M
13441,36,executive/managerial,M
13442,31,scientist,M
13443,28,self-employed,M
13444,30,executive/managerial,M
13445,33,executive/managerial,M
13446,25,college/grad student,M
13447,29,college/grad student,M
13448,24,other or not specified,M
13449,89,retired,M
13450,29,college/grad student,M
13451,31,college/grad student,F
13452,30,college/grad student,M
13453,33,sales/marketing,M
13454,30,clerical/admin,M
13455,33,customer service,M
13456,31,scientist,M
13457,30,executive/managerial,M
13458,34,homemaker,M
13459,41,self-employed,M
13460,21,scientist,M
13461,26,college/grad student,M
13462,32,homemaker,M
13463,21,sales/marketing,M
13464,35,other or not specified,M
13465,34,scientist,M
13466,18,self-employed,F
13467,29,other or not specified,M
13468,32,college/grad student,M
13469,34,other or not specified,M
13470,33,self-employed,M
13471,25,academic/educator,M
13472,26,scientist,M
13473,31,self-employed,M
13474,33,scientist,M
13475,28,college/grad student,M
13476,20,scientist,M
13477,26,homemaker,M
13478,72,retired,M
13479,29,college/grad student,M
13480,28,college/grad student,M
13481,40,self-employed,F
13482,30,other or not specified,M
13483,31,college/grad student,M
13484,27,college/grad student,M
13485,33,college/grad student,M
13486,29,K-12 student,M
13487,27,artist,M
13488,31,executive/managerial,M
13489,26,executive/managerial,M
13490,28,executive/managerial,M
13491,34,sales/marketing,M
13492,39,academic/educator,M
13493,32,self-employed,F
13494,36,clerical/admin,M
13495,36,other or not specified,M
13496,26,executive/managerial,M
13497,26,sales/marketing,M
13498,25,college/grad student,M
13499,29,sales/marketing,M
13500,32,sales/marketing,M
13501,33,academic/educator,M
13502,53,self-employed,M
13503,50,academic/educator,M
13504,34,sales/marketing,M
13505,33,sales/marketing,M
13506,20,other or not specified,M
13507,31,college/grad student,M
13508,33,self-employed,M
13509,18,sales/marketing,M
13510,29,self-employed,F
13511,28,college/grad student,M
13512,22,K-12 student,M
13513,27,college/grad student,M
13514,32,scientist,M
13515,33,sales/marketing,F
13516,30,college/grad student,M
13517,34,K-12 student,M
13518,32,sales/marketing,M
13519,26,scientist,M
13520,29,homemaker,M
13521,29,other or not specified,F
13522,28,executive/managerial,M
13523,32,college/grad student,M
13524,31,college/grad student,M
13525,28,artist,M
13526,34,homemaker,M
13527,26,self-employed,M
13528,29,academic/educator,F
13529,30,technician/engineer,M
13530,26,other or not specified,M
13531,30,sales/marketing,M
13532,30,executive/managerial,F
13533,25,scientist,M
13534,28,academic/educator,M
13535,31,self-employed,M
13536,32,executive/managerial,M
13537,25,academic/educator,M
13538,31,sales/marketing,M
13539,53,self-employed,F
13540,25,college/grad student,M
13541,18,K-12 student,M
13542,32,executive/managerial,M
13543,25,clerical/admin,F
13544,26,college/grad student,M
13545,30,self-employed,M
13546,32,sales/marketing,M
13547,27,executive/managerial,M
13548,34,academic/educator,F
13549,29,college/grad student,M
13550,18,unemployed,M
13551,32,college/grad student,F
13552,27,college/grad student,M
13553,32,college/grad student,M
13554,25,executive/managerial,M
13555,20,artist,M
13556,26,college/grad student,M
13557,27,college/grad student,F
13558,26,sales/marketing,M
13559,32,sales/marketing,M
13560,32,executive/managerial,M
13561,29,college/grad student,M
13562,18,artist,F
13563,30,executive/managerial,M
13564,30,sales/marketing,M
13565,30,sales/marketing,M
13566,26,scientist,M
13567,34,college/grad student,F
13568,31,scientist,M
13569,18,self-employed,M
13570,27,scientist,M
13571,26,college/grad student,M
13572,27,writer,M
13573,30,executive/managerial,M
13574,27,sales/marketing,M
13575,29,academic/educator,M
13576,31,self-employed,M
13577,27,sales/marketing,M
13578,33,executive/managerial,M
13579,30,scientist,M
13580,26,college/grad student,M
13581,25,executive/managerial,F
13582,33,college/grad student,F
13583,21,college/grad student,M
13584,60,executive/managerial,F
13585,26,college/grad student,M
13586,30,college/grad student,M
13587,26,scientist,M
13588,32,college/grad student,M
13589,43,clerical/admin,M
13590,32,other or not specified,M
13591,34,executive/managerial,M
13592,34,clerical/admin,M
13593,33,college/grad student,M
13594,29,college/grad student,F
13595,30,self-employed,M
13596,31,executive/managerial,M
13597,26,homemaker,M
13598,34,sales/marketing,M
13599,43,other or not specified,M
13600,22,self-employed,M
13601,11,sales/marketing,M
13602,27,executive/managerial,M
13603,33,college/grad student,M
13604,30,sales/marketing,F
13605,21,sales/marketing,M
13606,27,clerical/admin,M
13607,76,academic/educator,M
13608,33,executive/managerial,M
13609,18,K-12 student,M
13610,18,K-12 student,M
13611,8,homemaker,M
13612,18,K-12 student,F
13613,34,college/grad student,M
13614,33,executive/managerial,M
13615,26,executive/managerial,M
13616,26,other or not specified,M
13617,27,college/grad student,M
13618,31,college/grad student,M
13619,28,sales/marketing,M
13620,29,college/grad student,M
13621,25,college/grad student,M
13622,29,sales/marketing,M
13623,28,sales/marketing,M
13624,54,self-employed,F
13625,28,self-employed,M
13626,83,executive/managerial,M
13627,25,college/grad student,M
13628,26,academic/educator,M
13629,33,sales/marketing,M
13630,29,artist,F
13631,26,customer service,F
13632,30,college/grad student,M
13633,30,college/grad student,M
13634,29,college/grad student,M
13635,27,self-employed,M
13636,30,college/grad student,M
13637,31,scientist,M
13638,26,executive/managerial,M
13639,24,self-employed,F
13640,25,artist,M
13641,32,college/grad student,F
13642,31,self-employed,F
13643,29,self-employed,M
13644,29,sales/marketing,M
13645,27,academic/educator,F
13646,25,other or not specified,M
13647,32,college/grad student,M
13648,30,college/grad student,M
13649,24,K-12 student,M
13650,27,other or not specified,M
13651,27,other or not specified,M
13652,18,college/grad student,M
13653,25,scientist,M
13654,34,executive/managerial,F
13655,19,other or not specified,M
13656,71,college/grad student,F
13657,75,executive/managerial,F
13658,22,college/grad student,M
13659,30,college/grad student,M
13660,34,self-employed,F
13661,28,K-12 student,M
13662,23,homemaker,M
13663,33,college/grad student,F
13664,32,college/grad student,M
13665,32,college/grad student,M
13666,45,clerical/admin,F
13667,34,college/grad student,M
13668,27,college/grad student,M
13669,28,college/grad student,F
13670,34,college/grad student,M
13671,28,self-employed,M
13672,18,other or not specified,M
13673,25,executive/managerial,M
13674,29,executive/managerial,M
13675,26,college/grad student,M
13676,88,retired,M
13677,19,scientist,M
13678,27,sales/marketing,F
13679,25,homemaker,M
13680,26,sales/marketing,F
13681,52,self-employed,F
13682,34,college/grad student,M
13683,26,scientist,F
13684,29,executive/managerial,M
13685,72,artist,M
13686,30,executive/managerial,M
13687,32,sales/marketing,M
13688,32,self-employed,F
13689,26,self-employed,M
13690,26,clerical/admin,F
13691,33,executive/managerial,M
13692,26,college/grad student,M
13693,34,college/grad student,M
13694,30,college/grad student,M
13695,29,college/grad student,M
13696,32,homemaker,M
13697,34,college/grad student,M
13698,32,sales/marketing,M
13699,30,self-employed,F
13700,23,sales/marketing,M
13701,26,executive/managerial,M
13702,22,college/grad student,M
13703,26,executive/managerial,M
13704,28,college/grad student,F
13705,18,homemaker,F
13706,31,college/grad student,F
13707,28,executive/managerial,M
13708,27,sales/marketing,M
13709,32,college/grad student,M
13710,23,scientist,M
13711,31,executive/managerial,M
13712,25,self-employed,M
13713,32,academic/educator,M
13714,29,executive/managerial,M
13715,22,artist,M
13716,27,scientist,M
13717,32,academic/educator,F
13718,26,sales/marketing,M
13719,32,scientist,M
13720,25,academic/educator,M
13721,25,clerical/admin,M
13722,28,programmer,M
13723,34,college/grad student,M
13724,27,sales/marketing,M
13725,31,artist,M
13726,34,clerical/admin,F
13727,31,college/grad student,M
13728,26,other or not specified,M
13729,32,other or not specified,F
13730,38,artist,M
13731,28,college/grad student,M
13732,26,sales/marketing,M
13733,32,other or not specified,M
13734,37,academic/educator,M
13735,32,college/grad student,M
13736,32,sales/marketing,M
13737,20,K-12 student,F
13738,32,artist,M
13739,28,college/grad student,M
13740,28,executive/managerial,M
13741,26,scientist,M
13742,31,college/grad student,M
13743,27,scientist,M
13744,31,sales/marketing,M
13745,34,programmer,M
13746,18,K-12 student,M
13747,29,college/grad student,M
13748,28,academic/educator,M
13749,28,executive/managerial,F
13750,27,academic/educator,F
13751,18,college/grad student,M
13752,25,college/grad student,F
13753,43,clerical/admin,M
13754,21,other or not specified,M
13755,18,K-12 student,M
13756,18,K-12 student,M
13757,20,artist,F
13758,28,academic/educator,M
13759,21,technician/engineer,M
13760,34,executive/managerial,M
13761,18,sales/marketing,M
13762,26,academic/educator,F
13763,31,sales/marketing,M
13764,26,college/grad student,M
13765,23,scientist,F
13766,27,executive/managerial,M
13767,27,programmer,M
13768,30,college/grad student,M
13769,27,college/grad student,M
13770,73,homemaker,M
13771,34,sales/marketing,M
13772,64,other or not specified,F
13773,25,scientist,F
13774,32,executive/managerial,M
13775,33,self-employed,F
13776,33,college/grad student,M
13777,29,executive/managerial,M
13778,32,college/grad student,M
13779,47,sales/marketing,M
13780,54,other or not specified,M
13781,20,scientist,M
13782,32,scientist,M
13783,25,college/grad student,M
13784,25,executive/managerial,M
13785,32,college/grad student,F
13786,30,executive/managerial,M
13787,30,sales/marketing,M
13788,20,scientist,M
13789,33,executive/managerial,M
13790,28,executive/managerial,M
13791,30,sales/marketing,M
13792,24,other or not specified,M
13793,33,other or not specified,M
13794,18,K-12 student,F
13795,29,scientist,M
13796,30,executive/managerial,M
13797,30,executive/managerial,M
13798,24,sales/marketing,M
13799,31,academic/educator,M
13800,26,executive/managerial,M
13801,25,college/grad student,F
13802,26,other or not specified,F
13803,18,K-12 student,M
13804,24,other or not specified,M
13805,31,self-employed,M
13806,25,college/grad student,M
13807,31,K-12 student,M
13808,30,college/grad student,M
13809,29,scientist,M
13810,26,executive/managerial,M
13811,33,scientist,M
13812,44,scientist,M
13813,32,scientist,M
13814,20,scientist,M
13815,28,other or not specified,M
13816,25,programmer,M
13817,28,scientist,M
13818,27,technician/engineer,M
13819,25,sales/marketing,F
13820,29,K-12 student,M
13821,28,college/grad student,F
13822,27,executive/managerial,M
13823,32,sales/marketing,M
13824,30,academic/educator,M
13825,12,artist,F
13826,26,executive/managerial,F
13827,26,sales/marketing,M
13828,26,artist,F
13829,27,other or not specified,M
13830,27,executive/managerial,F
13831,59,academic/educator,F
13832,29,artist,M
13833,80,lawyer,M
13834,41,academic/educator,M
13835,85,retired,M
13836,31,college/grad student,M
13837,38,other or not specified,F
13838,25,artist,M
13839,26,executive/managerial,M
13840,25,college/grad student,F
13841,31,executive/managerial,M
13842,26,programmer,M
13843,25,executive/managerial,F
13844,25,college/grad student,M
13845,33,other or not specified,M
13846,30,K-12 student,M
13847,31,college/grad student,F
13848,29,college/grad student,F
13849,33,sales/marketing,M
13850,36,executive/managerial,F
13851,30,other or not specified,M
13852,30,executive/managerial,M
13853,31,college/grad student,F
13854,28,college/grad student,M
13855,27,technician/engineer,M
13856,29,other or not specified,M
13857,32,retired,M
13858,29,executive/managerial,M
13859,31,homemaker,M
13860,46,academic/educator,M
13861,26,sales/marketing,M
13862,28,college/grad student,M
13863,26,college/grad student,M
13864,33,self-employed,M
13865,31,college/grad student,M
13866,34,sales/marketing,M
13867,31,college/grad student,F
13868,32,college/grad student,M
13869,32,scientist,M
13870,34,scientist,M
13871,42,academic/educator,F
13872,31,college/grad student,F
13873,29,scientist,F
13874,26,college/grad student,M
13875,19,sales/marketing,M
13876,27,college/grad student,F
13877,28,executive/managerial,M
13878,25,college/grad student,F
13879,18,college/grad student,M
13880,34,college/grad student,M
13881,26,college/grad student,M
13882,32,executive/managerial,M
13883,29,other or not specified,F
13884,28,other or not specified,M
13885,33,doctor/health care,F
13886,25,sales/marketing,M
13887,33,executive/managerial,M
13888,25,executive/managerial,M
13889,27,sales/marketing,M
13890,26,self-employed,M
13891,29,homemaker,F
13892,32,clerical/admin,M
13893,31,college/grad student,M
13894,8,K-12 student,M
13895,43,retired,F
13896,27,technician/engineer,M
13897,34,scientist,M
13898,32,other or not specified,M
13899,28,artist,M
13900,28,executive/managerial,M
13901,32,college/grad student,M
13902,20,other or not specified,M
13903,46,writer,M
13904,23,technician/engineer,M
13905,25,executive/managerial,M
13906,29,executive/managerial,M
13907,25,academic/educator,M
13908,30,technician/engineer,M
13909,34,executive/managerial,M
13910,29,retired,M
13911,33,self-employed,M
13912,29,college/grad student,M
13913,26,college/grad student,M
13914,73,retired,M
13915,18,homemaker,M
13916,27,clerical/admin,M
13917,25,other or not specified,F
13918,44,lawyer,M
13919,31,executive/managerial,M
13920,33,scientist,M
13921,28,executive/managerial,M
13922,25,sales/marketing,M
13923,21,scientist,M
13924,32,retired,M
13925,29,homemaker,M
13926,71,retired,M
13927,30,college/grad student,M
13928,33,college/grad student,F
13929,26,sales/marketing,M
13930,30,sales/marketing,M
13931,29,scientist,M
13932,22,college/grad student,M
13933,25,college/grad student,F
13934,27,college/grad student,M
13935,25,K-12 student,M
13936,40,executive/managerial,M
13937,21,artist,F
13938,19,sales/marketing,M
13939,31,sales/marketing,M
13940,32,college/grad student,F
13941,29,homemaker,F
13942,36,sales/marketing,M
13943,26,college/grad student,F
13944,30,artist,M
13945,27,scientist,M
13946,28,scientist,M
13947,26,scientist,M
13948,34,sales/marketing,M
13949,31,executive/managerial,M
13950,34,college/grad student,M
13951,32,college/grad student,M
13952,27,artist,M
13953,33,college/grad student,M
13954,32,executive/managerial,M
13955,35,clerical/admin,M
13956,25,other or not specified,F
13957,54,scientist,M
13958,52,academic/educator,F
13959,29,scientist,M
13960,39,college/grad student,F
13961,25,executive/managerial,M
13962,28,college/grad student,M
13963,25,executive/managerial,M
13964,37,sales/marketing,M
13965,33,artist,M
13966,23,sales/marketing,M
13967,29,technician/engineer,M
13968,30,college/grad student,F
13969,32,college/grad student,M
13970,31,sales/marketing,M
13971,32,self-employed,M
13972,31,executive/managerial,M
13973,25,scientist,M
13974,27,other or not specified,M
13975,28,college/grad student,M
13976,11,writer,M
13977,26,college/grad student,M
13978,34,college/grad student,M
13979,26,homemaker,M
13980,26,sales/marketing,M
13981,54,doctor/health care,F
13982,22,other or not specified,F
13983,26,sales/marketing,M
13984,28,executive/managerial,M
13985,34,executive/managerial,M
13986,31,self-employed,M
13987,25,executive/managerial,F
13988,26,executive/managerial,M
13989,34,scientist,M
13990,33,executive/managerial,M
13991,32,sales/marketing,M
13992,29,college/grad student,M
13993,25,executive/managerial,M
13994,31,other or not specified,F
13995,29,executive/managerial,M
13996,32,executive/managerial,M
13997,32,executive/managerial,M
13998,28,executive/managerial,M
13999,28,executive/managerial,M
14000,25,executive/managerial,M
14001,32,executive/managerial,M
14002,32,college/grad student,M
14003,26,scientist,M
14004,33,college/grad student,M
14005,31,self-employed,M
14006,30,programmer,M
14007,25,scientist,F
14008,29,executive/managerial,M
14009,36,executive/managerial,M
14010,32,executive/managerial,M
14011,30,college/grad student,M
14012,33,college/grad student,M
14013,29,college/grad student,F
14014,18,K-12 student,M
14015,26,college/grad student,M
14016,30,college/grad student,M
14017,33,college/grad student,F
14018,27,sales/marketing,M
14019,31,executive/managerial,M
14020,40,executive/managerial,M
14021,31,self-employed,M
14022,29,sales/marketing,M
14023,35,sales/marketing,M
14024,31,sales/marketing,M
14025,33,sales/marketing,M
14026,34,executive/managerial,M
14027,28,college/grad student,M
14028,25,executive/managerial,M
14029,32,college/grad student,M
14030,34,college/grad student,M
14031,29,scientist,M
14032,31,clerical/admin,M
14033,30,executive/managerial,M
14034,26,clerical/admin,F
14035,29,college/grad student,M
14036,30,college/grad student,M
14037,33,sales/marketing,M
14038,32,K-12 student,M
14039,37,retired,M
14040,25,college/grad student,M
14041,25,homemaker,M
14042,29,other or not specified,M
14043,30,college/grad student,M
14044,33,executive/managerial,M
14045,26,artist,F
14046,18,K-12 student,M
14047,30,writer,F
14048,31,college/grad student,M
14049,27,scientist,F
14050,33,clerical/admin,F
14051,26,K-12 student,M
14052,48,sales/marketing,M
14053,33,sales/marketing,M
14054,29,academic/educator,M
14055,21,scientist,M
14056,29,clerical/admin,M
14057,34,college/grad student,M
14058,32,sales/marketing,M
14059,28,executive/managerial,M
14060,33,sales/marketing,M
14061,28,executive/managerial,M
14062,29,clerical/admin,M
14063,32,executive/managerial,M
14064,27,college/grad student,M
14065,27,college/grad student,M
14066,31,executive/managerial,M
14067,31,college/grad student,M
14068,28,executive/managerial,M
14069,30,sales/marketing,M
14070,30,sales/marketing,F
14071,39,scientist,M
14072,28,lawyer,M
14073,32,self-employed,M
14074,24,scientist,M
14075,31,other or not specified,M
14076,32,scientist,M
14077,23,college/grad student,M
14078,28,sales/marketing,M
14079,29,executive/managerial,M
14080,29,executive/managerial,M
14081,41,sales/marketing,M
14082,30,academic/educator,F
14083,33,sales/marketing,M
14084,33,college/grad student,M
14085,31,scientist,M
14086,32,executive/managerial,M
14087,29,executive/managerial,M
14088,18,K-12 student,M
14089,32,scientist,M
14090,30,college/grad student,M
14091,26,scientist,M
14092,32,executive/managerial,M
14093,34,other or not specified,M
14094,33,college/grad student,M
14095,25,executive/managerial,M
14096,18,K-12 student,M
14097,30,K-12 student,F
14098,26,programmer,M
14099,26,scientist,M
14100,33,self-employed,M
14101,19,college/grad student,M
14102,31,other or not specified,M
14103,26,artist,M
14104,33,retired,M
14105,34,college/grad student,M
14106,34,college/grad student,M
14107,34,sales/marketing,M
14108,26,scientist,F
14109,34,executive/managerial,M
14110,25,retired,F
14111,26,college/grad student,F
14112,29,retired,M
14113,26,college/grad student,F
14114,31,scientist,M
14115,26,sales/marketing,F
14116,34,self-employed,M
14117,25,self-employed,M
14118,41,executive/managerial,M
14119,30,college/grad student,F
14120,27,other or not specified,F
14121,27,college/grad student,M
14122,29,college/grad student,M
14123,32,retired,M
14124,26,college/grad student,M
14125,28,college/grad student,M
14126,27,lawyer,M
14127,32,homemaker,F
14128,18,K-12 student,M
14129,27,scientist,F
14130,28,college/grad student,M
14131,33,college/grad student,M
14132,28,sales/marketing,M
14133,34,artist,M
14134,26,executive/managerial,M
14135,34,college/grad student,M
14136,31,executive/managerial,M
14137,32,academic/educator,M
14138,18,K-12 student,M
14139,26,K-12 student,M
14140,34,college/grad student,F
14141,39,sales/marketing,M
14142,36,sales/marketing,F
14143,25,scientist,M
14144,29,college/grad student,M
14145,32,college/grad student,M
14146,30,self-employed,M
14147,33,college/grad student,M
14148,18,sales/marketing,M
14149,30,college/grad student,M
14150,31,academic/educator,F
14151,30,scientist,M
14152,31,clerical/admin,M
14153,24,sales/marketing,M
14154,32,executive/managerial,M
14155,34,artist,F
14156,29,college/grad student,M
14157,34,scientist,M
14158,75,other or not specified,F
14159,23,lawyer,M
14160,31,self-employed,M
14161,21,self-employed,M
14162,29,executive/managerial,M
14163,29,sales/marketing,M
14164,30,executive/managerial,M
14165,31,executive/managerial,M
14166,18,K-12 student,M
14167,35,writer,F
14168,32,scientist,F
14169,30,college/grad student,M
14170,32,self-employed,F
14171,26,college/grad student,M
14172,31,college/grad student,M
14173,38,executive/managerial,M
14174,34,sales/marketing,M
14175,34,scientist,M
14176,26,homemaker,M
14177,25,college/grad student,M
14178,32,scientist,F
14179,32,college/grad student,M
14180,11,sales/marketing,M
14181,18,college/grad student,F
14182,27,scientist,M
14183,69,other or not specified,M
14184,31,sales/marketing,M
14185,29,college/grad student,M
14186,27,other or not specified,M
14187,24,sales/marketing,M
14188,30,college/grad student,M
14189,25,artist,F
14190,30,executive/managerial,M
14191,29,lawyer,M
14192,31,college/grad student,F
14193,32,tradesman/craftsman,M
14194,26,college/grad student,M
14195,33,college/grad student,M
14196,36,clerical/admin,M
14197,27,other or not specified,M
14198,27,self-employed,M
14199,18,college/grad student,M
14200,29,college/grad student,M
14201,25,executive/managerial,M
14202,25,homemaker,M
14203,25,executive/managerial,M
14204,30,other or not specified,M
14205,32,artist,M
14206,33,executive/managerial,M
14207,33,sales/marketing,M
14208,30,college/grad student,M
14209,33,executive/managerial,M
14210,30,artist,F
14211,29,sales/marketing,M
14212,29,college/grad student,M
14213,27,self-employed,M
14214,33,self-employed,M
14215,28,college/grad student,M
14216,33,self-employed,M
14217,22,K-12 student,M
14218,30,college/grad student,M
14219,29,sales/marketing,M
14220,30,other or not specified,M
14221,26,K-12 student,M
14222,25,executive/managerial,M
14223,25,unemployed,M
14224,28,sales/marketing,M
14225,27,executive/managerial,M
14226,25,executive/managerial,F
14227,32,sales/marketing,M
14228,28,self-employed,M
14229,27,K-12 student,M
14230,28,sales/marketing,M
14231,34,sales/marketing,M
14232,32,college/grad student,M
14233,31,college/grad student,M
14234,27,executive/managerial,M
14235,26,executive/managerial,M
14236,25,homemaker,M
14237,30,other or not specified,F
14238,31,scientist,M
14239,31,college/grad student,M
14240,74,retired,F
14241,33,artist,F
14242,21,college/grad student,M
14243,28,college/grad student,F
14244,27,college/grad student,F
14245,34,executive/managerial,M
14246,21,K-12 student,M
14247,29,executive/managerial,F
14248,28,executive/managerial,M
14249,33,doctor/health care,F
14250,34,self-employed,M
14251,33,executive/managerial,M
14252,31,college/grad student,M
14253,25,self-employed,M
14254,30,college/grad student,M
14255,21,scientist,M
14256,34,college/grad student,F
14257,25,scientist,M
14258,27,college/grad student,M
14259,30,retired,M
14260,32,clerical/admin,M
14261,31,other or not specified,M
14262,26,other or not specified,M
14263,33,self-employed,M
14264,29,executive/managerial,M
14265,32,college/grad student,M
14266,32,college/grad student,M
14267,27,executive/managerial,M
14268,24,college/grad student,M
14269,26,sales/marketing,M
14270,34,college/grad student,F
14271,25,self-employed,M
14272,28,K-12 student,M
14273,33,executive/managerial,F
14274,47,clerical/admin,F
14275,31,college/grad student,M
14276,29,other or not specified,M
14277,28,scientist,M
14278,31,K-12 student,M
14279,29,executive/managerial,M
14280,36,clerical/admin,M
14281,27,college/grad student,M
14282,29,sales/marketing,M
14283,27,executive/managerial,M
14284,29,college/grad student,M
14285,34,sales/marketing,M
14286,25,executive/managerial,M
14287,19,homemaker,M
14288,21,sales/marketing,M
14289,28,college/grad student,M
14290,34,college/grad student,F
14291,26,retired,M
14292,29,college/grad student,M
14293,41,homemaker,M
14294,32,homemaker,M
14295,34,executive/managerial,M
14296,31,executive/managerial,M
14297,30,executive/managerial,F
14298,25,college/grad student,M
14299,25,homemaker,F
14300,26,scientist,M
14301,27,other or not specified,M
14302,31,scientist,M
14303,26,executive/managerial,M
14304,33,K-12 student,M
14305,18,sales/marketing,M
14306,33,college/grad student,M
14307,27,scientist,M
14308,34,college/grad student,M
14309,25,executive/managerial,M
14310,25,college/grad student,M
14311,27,executive/managerial,M
14312,27,self-employed,F
14313,26,executive/managerial,M
14314,34,executive/managerial,M
14315,28,sales/marketing,M
14316,22,scientist,M
14317,18,K-12 student,M
14318,29,other or not specified,M
14319,32,scientist,F
14320,28,executive/managerial,M
14321,29,other or not specified,M
14322,30,programmer,M
14323,18,scientist,M
14324,29,executive/managerial,M
14325,34,academic/educator,F
14326,28,sales/marketing,M
14327,32,homemaker,M
14328,26,sales/marketing,M
14329,29,executive/managerial,M
14330,33,self-employed,M
14331,29,sales/marketing,F
14332,26,college/grad student,M
14333,32,other or not specified,F
14334,29,college/grad student,M
14335,28,sales/marketing,F
14336,19,sales/marketing,M
14337,30,college/grad student,M
14338,25,college/grad student,M
14339,26,sales/marketing,M
14340,25,college/grad student,F
14341,29,college/grad student,M
14342,27,sales/marketing,M
14343,25,scientist,M
14344,56,scientist,F
14345,18,sales/marketing,M
14346,26,sales/marketing,M
14347,28,college/grad student,M
14348,34,sales/marketing,M
14349,18,sales/marketing,M
14350,28,executive/managerial,M
14351,26,self-employed,M
14352,30,executive/managerial,M
14353,43,academic/educator,F
14354,50,academic/educator,F
14355,33,scientist,M
14356,34,executive/managerial,F
14357,25,other or not specified,F
14358,64,retired,F
14359,24,self-employed,M
14360,27,technician/engineer,M
14361,25,executive/managerial,M
14362,25,self-employed,M
14363,30,homemaker,M
14364,30,college/grad student,M
14365,34,self-employed,F
14366,18,other or not specified,M
14367,32,college/grad student,M
14368,33,college/grad student,M
14369,31,sales/marketing,M
14370,32,college/grad student,F
14371,42,executive/managerial,M
14372,25,executive/managerial,M
14373,26,executive/managerial,M
14374,28,sales/marketing,M
14375,31,other or not specified,M
14376,28,sales/marketing,M
14377,27,clerical/admin,M
14378,34,executive/managerial,M
14379,27,college/grad student,M
14380,32,college/grad student,M
14381,31,college/grad student,M
14382,28,homemaker,F
14383,29,college/grad student,M
14384,25,sales/marketing,M
14385,48,scientist,M
14386,26,college/grad student,M
14387,34,other or not specified,M
14388,29,sales/marketing,M
14389,32,retired,F
14390,32,college/grad student,M
14391,35,technician/engineer,M
14392,34,executive/managerial,M
